,INSTNM,CONTROL,PREDDEG,MENONLY,WOMENONLY,DEBT_MDN,GRAD_DEBT_MDN,RPY_3YR_RT,RPY_5YR_RT,RPY_7YR_RT,C150_L4,LATITUDE,LONGITUDE,NPT4_PRIV,HSI,C150_L4_POOLED,Cluster
1650,Assumption College,2,3,0.0,0.0,24931.0,27000.0,0.939554613,0.941656943,0.945920304,,42.2954,-71.8284,25663.0,0.0,,2
1651,Babson College,2,3,0.0,0.0,27000.0,27000.0,,0.960526316,,,42.2965,-71.2695,28057.0,0.0,,2
1652,Bancroft School of Massage Therapy,3,1,0.0,0.0,7600.0,7600.0,,,,0.8333,42.2693,-71.7788,,0.0,0.899964,0
1653,Boston Baptist College,2,3,0.0,0.0,22700.5,26826.0,0.76,0.848101266,0.698412698,,42.254,-71.1103,21380.0,0.0,,2
1654,Bay Path College,2,3,0.0,1.0,18065.0,21538.5,0.782155272,0.769028871,0.8025,,42.0554,-72.584,20836.0,0.0,,2
1655,Bay State College,3,2,0.0,0.0,18000.0,25250.0,0.616844603,0.613037448,0.628643853,,42.352,-71.077,25440.0,0.0,,1
1656,Bay State School of Technology,3,1,0.0,0.0,8505.0,8506.0,0.542613636,0.563176895,0.603125,0.7986,42.1795,-71.1135,24489.0,0.0,0.755475815,0
1657,Becker College,2,3,0.0,0.0,15750.0,27166.0,0.73100983,0.75308642,0.77892562,,42.2692,-71.8119,28697.0,0.0,,2
1658,Bentley University,2,3,0.0,0.0,26000.0,27000.0,0.977186312,0.966638866,0.968681719,,42.3888,-71.2201,29886.0,0.0,,2
1659,Berklee College of Music,2,3,0.0,0.0,21046.0,27000.0,0.813453537,0.824574961,0.851294904,,42.3469,-71.087,43018.0,0.0,,2
1660,Berkshire Community College,1,2,0.0,0.0,7177.0,12345.0,0.640221402,0.665979381,0.743215031,0.2471,42.4609,-73.3188,,0.0,0.247445415,3
1661,Empire Beauty School-Boston,3,1,0.0,0.0,6837.0,9833.0,0.424688562,0.545611015,0.735955056,0.5379,42.3547,-71.0625,14205.0,0.0,0.616871429,0
1662,Boston Architectural College,2,3,0.0,0.0,30853.0,45202.0,0.71197411,0.711678832,0.80239521,,42.3487,-71.0859,32772.0,0.0,,2
1663,Boston Graduate School of Psychoanalysis Inc,2,4,0.0,0.0,6000.0,,,,,,42.3395,-71.133,,0.0,,0
1664,Boston College,2,3,0.0,0.0,19000.0,19000.0,0.953187251,0.958441558,0.975691534,,42.3377,-71.1715,33070.0,0.0,,2
1665,The Boston Conservatory,2,3,0.0,0.0,25852.5,27000.0,0.869565217,0.78030303,0.85380117,,42.3469,-71.0905,43952.0,0.0,,2
1666,Boston University,2,3,0.0,0.0,25500.0,27000.0,0.946090335,0.959223778,0.972432301,,42.3496,-71.0998,34603.0,0.0,,2
1667,Brandeis University,2,3,0.0,0.0,26000.0,27000.0,0.928251121,0.952580195,0.970322581,,42.3649,-71.2547,29578.0,0.0,,2
1668,Bridgewater State University,1,3,0.0,0.0,19250.0,24998.0,0.821496512,0.863180516,0.872057707,,41.9878,-70.9661,,0.0,,2
